datetime,suction_tension (20cm),suction_tension (40cm),suction_tension (70cm),water_temperature,barometric_pressure_qfe,dew_point,water_level,inflow_linth (m3/s),outflow_limmat (m3/s),precipitation (mm),Evapotranspiration (mm),change_rate
2016-03-20,4.36547619047619,3.882142857142857,2.5994047619047618,5.9477182539682545,971.7353174603174,0.5831349206349207,405.76973214285715,31.779267857142855,65.51557738095238,1.0999999999999999,7.55,2.567203331960144e-05
2016-03-27,5.917261904761905,4.257738095238095,3.001785714285714,6.035062358276643,966.379195011338,2.299560657596372,405.7901558956916,29.373142857142856,60.60869642857143,6.0,5.279999999999999,5.033335711512876e-05
2016-04-03,5.234523809523809,4.392261904761905,3.1339285714285716,7.266071428571428,964.0551587301587,6.429464285714286,405.82908730158726,31.73400595238095,53.459375,0.7,9.04,9.593974947397221e-05
2016-04-10,6.000595238095237,5.499404761904763,3.543452380952381,7.886706349206349,962.6411706349206,6.2052579365079366,405.91821428571427,53.33170833333333,78.82410119047618,14.799999999999999,7.800000000000001,0.0002196170430257549
2016-04-17,4.360714285714286,4.382738095238095,3.3851190476190482,10.01061507936508,962.3006944444444,7.754563492063492,405.9337698412698,48.92208333333333,77.2327261904762,47.6,7.97,3.832189590924351e-05
2016-04-24,3.1773809523809526,2.6104166666666666,1.9119047619047618,10.404365079365078,970.3546626984127,5.600595238095238,405.9828472222222,59.26286904761905,133.26949404761905,40.0,12.03,0.00012089997087838533
2016-05-01,3.4041666666666663,2.8863095238095235,2.0229166666666667,8.68313492063492,965.9094246031746,1.8721230158730158,405.97738095238094,57.39276785714286,116.48864285714285,32.7,13.15,-1.34642876630231e-05
2016-05-08,3.731547619047619,2.8270833333333334,1.924404761904762,12.116567460317459,969.7042658730159,5.539880952380953,405.98324404761905,51.18163095238095,104.90780952380953,2.3,28.86,1.4441925863861726e-05
2016-05-15,5.491964285714286,3.4119047619047618,2.130952380952381,13.469384920634921,960.173015873016,9.260039682539682,406.0937599206349,82.22833333333334,165.56438690476193,89.5,8.59,0.0002722178184351165
2016-05-22,3.8955357142857143,3.157738095238095,2.080952380952381,13.236408730158729,968.7944246031747,7.9244642857142855,406.15972222222223,106.61107738095238,210.207875,16.0,18.25,0.00016243121194525756
2016-05-29,3.8735119047619047,3.3910714285714287,2.1982142857142857,15.2015873015873,965.5380753968254,11.519146825396826,406.06685515873016,98.97458928571429,163.64925595238097,46.300000000000004,13.2,-0.0002286466589644931
2016-06-05,3.2422619047619046,2.9217261904761904,1.9970238095238095,16.323313492063495,964.841865079365,12.808035714285714,406.08418650793647,112.11178571428572,179.9815654761905,44.5,5.33,4.268102403859331e-05
2016-06-12,4.041071428571429,3.404464285714286,2.2029761904761904,18.258333333333333,968.155357142857,13.676388888888889,406.11771825396823,121.0947261904762,205.32683928571427,44.900000000000006,14.280000000000001,8.257338538619763e-05
